eRx,Ch,SRAM,Read_CLK
0,-1,-1,-1
1,-1,-1,-1
2,-1,-1,-1
3,-1,-1,-1
4,-1,-1,-1
5,-1,-1,-1
6,-1,-1,-1
7,-1,-1,-1
8,-1,-1,-1
9,-1,-1,-1
10,-1,-1,-1
11,-1,-1,-1
0,0,0,0
0,1,1,0
0,2,2,0
0,3,3,0
0,4,4,0
0,5,5,0
0,6,6,0
0,7,7,0
0,8,8,1
0,9,9,1
0,10,10,1
0,11,11,1
0,12,0,1
0,13,1,1
0,14,2,1
0,15,3,1
0,16,4,1
0,17,5,1
0,18,6,1
0,19,7,1
0,20,8,2
0,21,9,2
0,22,10,2
0,23,11,2
0,24,0,2
0,25,1,2
0,26,2,2
0,27,3,2
0,28,4,2
0,29,5,2
0,30,6,2
0,31,7,2
0,32,8,3
0,33,9,3
0,34,10,3
0,35,11,3
0,36,0,3
1,0,1,3
1,1,2,3
1,2,3,3
1,3,4,3
1,4,5,3
1,5,6,4
1,6,7,4
1,7,8,4
1,8,9,4
1,9,10,4
1,10,11,4
1,11,0,4
1,12,1,4
1,13,2,4
1,14,3,4
1,15,4,4
1,16,5,4
1,17,6,5
1,18,7,5
1,19,8,5
1,20,9,5
1,21,10,5
1,22,11,5
1,23,0,5
1,24,1,5
1,25,2,5
1,26,3,5
1,27,4,5
1,28,5,5
1,29,6,6
1,30,7,6
1,31,8,6
1,32,9,6
1,33,10,6
1,34,11,6
1,35,0,6
1,36,1,6
2,0,2,6
2,1,3,6
2,2,4,7
2,3,5,7
2,4,6,7
2,5,7,7
2,6,8,7
2,7,9,7
2,8,10,7
2,9,11,7
2,10,0,7
2,11,1,7
2,12,2,7
2,13,3,7
2,14,4,8
2,15,5,8
2,16,6,8
2,17,7,8
2,18,8,8
2,19,9,8
2,20,10,8
2,21,11,8
2,22,0,8
2,23,1,8
2,24,2,8
2,25,3,8
2,26,4,9
2,27,5,9
2,28,6,9
2,29,7,9
2,30,8,9
2,31,9,9
2,32,10,9
2,33,11,9
2,34,0,9
2,35,1,9
2,36,2,9
3,0,3,10
3,1,4,10
3,2,5,10
3,3,6,10
3,4,7,10
3,5,8,10
3,6,9,10
3,7,10,10
3,8,11,10
3,9,0,10
3,10,1,10
3,11,2,11
3,12,3,11
3,13,4,11
3,14,5,11
3,15,6,11
3,16,7,11
3,17,8,11
3,18,9,11
3,19,10,11
3,20,11,11
3,21,0,11
3,22,1,11
3,23,2,12
3,24,3,12
3,25,4,12
3,26,5,12
3,27,6,12
3,28,7,12
3,29,8,12
3,30,9,12
3,31,10,12
3,32,11,12
3,33,0,12
3,34,1,12
3,35,2,13
3,36,3,13
4,0,4,13
4,1,5,13
4,2,6,13
4,3,7,13
4,4,8,13
4,5,9,13
4,6,10,13
4,7,11,13
4,8,0,14
4,9,1,14
4,10,2,14
4,11,3,14
4,12,4,14
4,13,5,14
4,14,6,14
4,15,7,14
4,16,8,14
4,17,9,14
4,18,10,14
4,19,11,14
4,20,0,15
4,21,1,15
4,22,2,15
4,23,3,15
4,24,4,15
4,25,5,15
4,26,6,15
4,27,7,15
4,28,8,15
4,29,9,15
4,30,10,15
4,31,11,15
4,32,0,16
4,33,1,16
4,34,2,16
4,35,3,16
4,36,4,16
5,0,5,16
5,1,6,16
5,2,7,16
5,3,8,16
5,4,9,16
5,5,10,17
5,6,11,17
5,7,0,17
5,8,1,17
5,9,2,17
5,10,3,17
5,11,4,17
5,12,5,17
5,13,6,17
5,14,7,17
5,15,8,17
5,16,9,17
5,17,10,18
5,18,11,18
5,19,0,18
5,20,1,18
5,21,2,18
5,22,3,18
5,23,4,18
5,24,5,18
5,25,6,18
5,26,7,18
5,27,8,18
5,28,9,18
5,29,10,19
5,30,11,19
5,31,0,19
5,32,1,19
5,33,2,19
5,34,3,19
5,35,4,19
5,36,5,19
6,0,6,19
6,1,7,19
6,2,8,20
6,3,9,20
6,4,10,20
6,5,11,20
6,6,0,20
6,7,1,20
6,8,2,20
6,9,3,20
6,10,4,20
6,11,5,20
6,12,6,20
6,13,7,20
6,14,8,21
6,15,9,21
6,16,10,21
6,17,11,21
6,18,0,21
6,19,1,21
6,20,2,21
6,21,3,21
6,22,4,21
6,23,5,21
6,24,6,21
6,25,7,21
6,26,8,22
6,27,9,22
6,28,10,22
6,29,11,22
6,30,0,22
6,31,1,22
6,32,2,22
6,33,3,22
6,34,4,22
6,35,5,22
6,36,6,22
7,0,7,23
7,1,8,23
7,2,9,23
7,3,10,23
7,4,11,23
7,5,0,23
7,6,1,23
7,7,2,23
7,8,3,23
7,9,4,23
7,10,5,23
7,11,6,24
7,12,7,24
7,13,8,24
7,14,9,24
7,15,10,24
7,16,11,24
7,17,0,24
7,18,1,24
7,19,2,24
7,20,3,24
7,21,4,24
7,22,5,24
7,23,6,25
7,24,7,25
7,25,8,25
7,26,9,25
7,27,10,25
7,28,11,25
7,29,0,25
7,30,1,25
7,31,2,25
7,32,3,25
7,33,4,25
7,34,5,25
7,35,6,26
7,36,7,26
8,0,8,26
8,1,9,26
8,2,10,26
8,3,11,26
8,4,0,26
8,5,1,26
8,6,2,26
8,7,3,26
8,8,4,27
8,9,5,27
8,10,6,27
8,11,7,27
8,12,8,27
8,13,9,27
8,14,10,27
8,15,11,27
8,16,0,27
8,17,1,27
8,18,2,27
8,19,3,27
8,20,4,28
8,21,5,28
8,22,6,28
8,23,7,28
8,24,8,28
8,25,9,28
8,26,10,28
8,27,11,28
8,28,0,28
8,29,1,28
8,30,2,28
8,31,3,28
8,32,4,29
8,33,5,29
8,34,6,29
8,35,7,29
8,36,8,29
9,0,9,29
9,1,10,29
9,2,11,29
9,3,0,29
9,4,1,29
9,5,2,30
9,6,3,30
9,7,4,30
9,8,5,30
9,9,6,30
9,10,7,30
9,11,8,30
9,12,9,30
9,13,10,30
9,14,11,30
9,15,0,30
9,16,1,30
9,17,2,31
9,18,3,31
9,19,4,31
9,20,5,31
9,21,6,31
9,22,7,31
9,23,8,31
9,24,9,31
9,25,10,31
9,26,11,31
9,27,0,31
9,28,1,31
9,29,2,32
9,30,3,32
9,31,4,32
9,32,5,32
9,33,6,32
9,34,7,32
9,35,8,32
9,36,9,32
10,0,10,32
10,1,11,32
10,2,0,33
10,3,1,33
10,4,2,33
10,5,3,33
10,6,4,33
10,7,5,33
10,8,6,33
10,9,7,33
10,10,8,33
10,11,9,33
10,12,10,33
10,13,11,33
10,14,0,34
10,15,1,34
10,16,2,34
10,17,3,34
10,18,4,34
10,19,5,34
10,20,6,34
10,21,7,34
10,22,8,34
10,23,9,34
10,24,10,34
10,25,11,34
10,26,0,35
10,27,1,35
10,28,2,35
10,29,3,35
10,30,4,35
10,31,5,35
10,32,6,35
10,33,7,35
10,34,8,35
10,35,9,35
10,36,10,35
11,0,11,36
11,1,0,36
11,2,1,36
11,3,2,36
11,4,3,36
11,5,4,36
11,6,5,36
11,7,6,36
11,8,7,36
11,9,8,36
11,10,9,36
11,11,10,37
11,12,11,37
11,13,0,37
11,14,1,37
11,15,2,37
11,16,3,37
11,17,4,37
11,18,5,37
11,19,6,37
11,20,7,37
11,21,8,37
11,22,9,37
11,23,10,38
11,24,11,38
11,25,0,38
11,26,1,38
11,27,2,38
11,28,3,38
11,29,4,38
11,30,5,38
11,31,6,38
11,32,7,38
11,33,8,38
11,34,9,38
11,35,10,39
11,36,11,39
